learner_id,session_id,prompt,verified,revised,adopted,reflected,latency_s
L000,L000-S00,Give me an outline,0,1,0,0,20.534233218861825
L000,L000-S00,Check whether my answer is correct,1,1,0,0,10.198464505632142
L000,L000-S00,Give me an outline,0,0,1,1,11.075123730431036
L000,L000-S01,Explain why this step works,1,1,0,0,36.4643152530415
L000,L000-S01,Check whether my answer is correct,1,1,0,1,17.39627408957383
L000,L000-S01,Give me an outline,0,1,1,0,35.193100178864526
L000,L000-S01,Write a possible answer,0,1,0,0,20.1646314486377
L000,L000-S01,Help me reflect on my reasoning,1,1,1,1,29.167890497225827
L000,L000-S02,Check whether my answer is correct,0,0,0,0,23.445420626562374
L000,L000-S02,Help me reflect on my reasoning,1,1,1,0,10.429965430007393
L000,L000-S02,Check whether my answer is correct,1,0,0,1,74.96305206708517
L000,L000-S02,Help me reflect on my reasoning,1,1,1,0,26.671349995977643
L000,L000-S02,What source supports this?,0,0,0,1,23.829145179733985
L000,L000-S03,Explain why this step works,0,1,0,1,33.46738517705294
L000,L000-S03,Write a possible answer,1,1,0,0,15.971955115853403
L000,L000-S03,Check whether my answer is correct,0,1,0,0,47.241364093686045
L000,L000-S03,Help me reflect on my reasoning,0,1,0,1,34.47529065180549
L000,L000-S03,Write a possible answer,1,1,0,1,35.84448743666944
L000,L000-S03,What source supports this?,0,1,1,1,59.01693961594039
L001,L001-S00,Explain why this step works,1,0,0,0,29.819793588179934
L001,L001-S00,What source supports this?,0,1,0,1,20.435245511118595
L001,L001-S00,Give me an outline,1,0,1,0,26.1892605572555
L001,L001-S00,Check whether my answer is correct,0,0,1,1,9.821561863457369
L001,L001-S00,Check whether my answer is correct,0,0,1,0,81.45099619879052
L001,L001-S01,Check whether my answer is correct,1,0,1,0,35.38774809283096
L001,L001-S01,Help me reflect on my reasoning,1,1,0,0,11.68862836646066
L001,L001-S01,What source supports this?,0,0,0,0,51.59950357039689
L001,L001-S01,What source supports this?,1,1,1,1,43.9147926532476
L001,L001-S02,Help me reflect on my reasoning,1,0,1,1,56.71454511565667
L001,L001-S02,Help me reflect on my reasoning,0,0,1,0,47.26972782459249
L001,L001-S02,Write a possible answer,0,0,1,1,57.95932869651468
L001,L001-S02,Give me an outline,0,1,0,0,34.70343137332213
L001,L001-S03,Write a possible answer,1,0,0,0,7.2225159089281235
L001,L001-S03,What source supports this?,0,0,0,1,14.532823998295198
L001,L001-S03,Check whether my answer is correct,1,1,0,1,9.668398085569564
L001,L001-S03,What source supports this?,1,1,1,0,55.391569972541866
L001,L001-S03,What source supports this?,0,0,1,1,19.292121685008237
L001,L001-S03,Explain why this step works,1,1,1,1,34.77217762220343
L002,L002-S00,Explain why this step works,1,1,0,1,13.925085311873394
L002,L002-S00,Check whether my answer is correct,1,0,0,0,10.417368215049972
L002,L002-S00,Help me reflect on my reasoning,0,0,0,0,1.5986318480915036
L002,L002-S00,Give me an outline,0,1,1,0,72.10615940275639
L002,L002-S00,Help me reflect on my reasoning,1,1,0,0,63.33271872494389
L002,L002-S01,Write a possible answer,1,0,1,0,34.95324287687438
L002,L002-S01,Give me an outline,1,0,1,0,47.66466574491039
L002,L002-S01,Check whether my answer is correct,0,0,1,0,24.84145600626683
L002,L002-S02,Explain why this step works,0,0,1,0,60.38701137723773
L002,L002-S02,Give me an outline,1,0,1,1,20.870760497885787
L002,L002-S02,Explain why this step works,0,1,0,1,27.64367390104899
L002,L002-S02,Give me an outline,1,1,1,0,15.88933182183802
L002,L002-S02,Check whether my answer is correct,0,0,0,1,28.990418232849706
L002,L002-S02,Help me reflect on my reasoning,1,0,1,1,15.34867083195436
L002,L002-S03,What source supports this?,0,1,1,1,26.77493644277001
L002,L002-S03,Give me an outline,0,0,0,0,50.36199623567154
L002,L002-S03,Check whether my answer is correct,0,0,1,0,54.132701039597194
L003,L003-S00,Check whether my answer is correct,1,1,1,0,29.437019917001425
L003,L003-S00,Help me reflect on my reasoning,0,0,0,0,67.95987932011906
L003,L003-S00,Give me an outline,0,1,0,0,9.131203229893133
L003,L003-S01,Help me reflect on my reasoning,0,1,0,0,38.099038011639664
L003,L003-S01,Explain why this step works,0,0,0,0,15.514496004219945
L003,L003-S01,Explain why this step works,0,1,0,1,25.01955977738912
L003,L003-S02,Explain why this step works,0,1,0,0,37.792504006695445
L003,L003-S02,Explain why this step works,0,0,1,0,42.59467313117158
L003,L003-S02,Help me reflect on my reasoning,1,0,1,1,26.65222519653609
L003,L003-S02,Explain why this step works,1,0,1,0,33.686348716621296
L003,L003-S02,Explain why this step works,0,0,0,0,44.02959614175613
L003,L003-S02,Help me reflect on my reasoning,1,0,1,0,32.45034232036173
L003,L003-S03,Write a possible answer,0,1,0,0,6.552528984722892
L003,L003-S03,What source supports this?,0,1,1,0,8.324721393482024
L003,L003-S03,Check whether my answer is correct,0,0,0,0,18.796240466237535
L004,L004-S00,Check whether my answer is correct,1,0,0,1,37.68941238915714
L004,L004-S00,Give me an outline,0,1,0,1,14.35190465055129
L004,L004-S00,Check whether my answer is correct,1,0,0,1,25.608089939091133
L004,L004-S00,Write a possible answer,1,1,1,0,27.058287405289455
L004,L004-S00,Check whether my answer is correct,0,0,0,1,16.421819893432726
L004,L004-S00,Check whether my answer is correct,1,0,1,1,31.996358752924337
L004,L004-S00,Help me reflect on my reasoning,1,0,1,1,32.02711732793322
L004,L004-S01,Check whether my answer is correct,0,0,1,1,40.13102464787856
L004,L004-S01,Check whether my answer is correct,0,0,0,0,33.491130330747566
L004,L004-S01,Check whether my answer is correct,1,1,0,1,4.042867484560903
L004,L004-S01,Check whether my answer is correct,1,1,1,0,27.394201971085465
L004,L004-S01,Explain why this step works,1,1,1,1,45.23577308693454
L004,L004-S01,Write a possible answer,1,0,1,1,41.061899395247785
L004,L004-S02,Help me reflect on my reasoning,0,0,1,0,8.423349688903599
L004,L004-S02,What source supports this?,1,0,0,1,62.51863311817806
L004,L004-S02,What source supports this?,0,0,0,0,75.61899871899709
L004,L004-S02,Write a possible answer,0,0,1,0,28.003470286792112
L004,L004-S02,Give me an outline,1,0,0,1,17.95988641956526
L004,L004-S02,Write a possible answer,1,1,0,0,26.550888403385006
L004,L004-S03,Write a possible answer,0,1,1,0,6.754666267297821
L004,L004-S03,Explain why this step works,0,1,1,0,43.867697586326294
L004,L004-S03,Write a possible answer,1,0,1,0,48.8073554799648
L004,L004-S03,Explain why this step works,1,1,0,0,22.00519681075312
L004,L004-S03,What source supports this?,1,0,1,0,38.72134186506375
L004,L004-S03,Give me an outline,0,0,1,1,56.8912327267283
L005,L005-S00,Explain why this step works,0,1,1,1,65.78819131115927
L005,L005-S00,What source supports this?,1,1,1,1,19.11834639298022
L005,L005-S00,Help me reflect on my reasoning,0,0,1,1,39.1367684132221
L005,L005-S00,Give me an outline,0,1,1,0,110.6349964099115
L005,L005-S01,Help me reflect on my reasoning,1,0,1,0,45.972128529883996
L005,L005-S01,What source supports this?,0,0,1,0,39.10316136552558
L005,L005-S01,Check whether my answer is correct,0,0,1,0,14.178866627399403
L005,L005-S01,Write a possible answer,0,0,1,1,7.653021340003693
L005,L005-S01,Write a possible answer,1,0,0,1,54.32776202188786
L005,L005-S02,Check whether my answer is correct,1,0,1,0,22.58713567446573
L005,L005-S02,Write a possible answer,0,1,1,1,51.84958163157673
L005,L005-S02,Write a possible answer,1,0,1,0,43.48330494487856
L005,L005-S02,Write a possible answer,0,0,0,0,40.223500046953035
L005,L005-S03,Help me reflect on my reasoning,0,1,0,0,22.707143143902897
L005,L005-S03,What source supports this?,0,1,1,0,30.978608477790438
L005,L005-S03,Check whether my answer is correct,1,1,1,1,102.4897858262882
L006,L006-S00,Write a possible answer,1,1,0,1,31.58140151050207
L006,L006-S00,Write a possible answer,1,0,1,1,48.4666707137963
L006,L006-S00,Write a possible answer,1,0,0,1,88.1385189181915
L006,L006-S01,Give me an outline,0,1,1,1,22.194355223218412
L006,L006-S01,Explain why this step works,0,1,1,1,26.89123109994453
L006,L006-S01,Check whether my answer is correct,1,0,1,0,20.034636272375
L006,L006-S01,Write a possible answer,0,0,1,1,18.224730215584724
L006,L006-S01,Write a possible answer,0,1,0,0,4.65851660911529
L006,L006-S01,Check whether my answer is correct,1,1,1,1,34.54368231443318
L006,L006-S01,Check whether my answer is correct,0,1,1,1,27.61767357774319
L006,L006-S02,Write a possible answer,1,0,1,1,27.1462664332055
L006,L006-S02,Check whether my answer is correct,1,0,1,1,18.745743895162686
L006,L006-S02,Help me reflect on my reasoning,1,1,1,0,56.81519629935256
L006,L006-S02,Check whether my answer is correct,1,1,1,0,23.207959909198454
L006,L006-S02,Explain why this step works,0,1,0,0,23.43616004118038
L006,L006-S02,What source supports this?,1,1,1,1,21.278857880623907
L006,L006-S03,Give me an outline,1,1,0,1,62.355247761911976
L006,L006-S03,What source supports this?,1,0,0,0,42.27817940719292
L006,L006-S03,Explain why this step works,1,1,1,1,36.36646512594351
L006,L006-S03,Give me an outline,0,1,1,1,56.41754475870564
L006,L006-S03,Explain why this step works,1,1,1,1,46.23604452011654
L006,L006-S03,Write a possible answer,1,1,1,0,12.61861111058773
L006,L006-S03,Write a possible answer,1,0,0,1,13.55928217060759
L007,L007-S00,Check whether my answer is correct,0,0,1,0,10.479066733997097
L007,L007-S00,Write a possible answer,0,0,1,0,55.14380385916451
L007,L007-S00,Help me reflect on my reasoning,1,1,0,0,53.893923842103575
L007,L007-S00,Explain why this step works,0,0,0,1,41.76023436533183
L007,L007-S00,Help me reflect on my reasoning,0,0,0,0,13.148803519638058
L007,L007-S00,Check whether my answer is correct,0,1,1,0,24.152962264207936
L007,L007-S00,Explain why this step works,0,0,1,0,22.06650521470339
L007,L007-S01,Check whether my answer is correct,0,0,1,1,39.13768546520722
L007,L007-S01,What source supports this?,0,0,1,0,26.36756747577861
L007,L007-S01,Check whether my answer is correct,0,0,0,1,57.008751345555666
L007,L007-S01,Check whether my answer is correct,0,1,1,0,3.0361349123235217
L007,L007-S01,Check whether my answer is correct,0,0,0,0,43.659580122213875
L007,L007-S01,Check whether my answer is correct,0,0,1,0,65.56088431239385
L007,L007-S02,What source supports this?,1,1,0,0,25.883253859302137
L007,L007-S02,Give me an outline,1,1,1,0,24.68349571706432
L007,L007-S02,Write a possible answer,0,0,1,0,43.57581676202862
L007,L007-S02,Give me an outline,0,0,0,0,35.12696078248959
L007,L007-S03,Write a possible answer,1,1,0,1,18.720489128656528
L007,L007-S03,Help me reflect on my reasoning,1,1,1,0,4.247287516405442
L007,L007-S03,Explain why this step works,1,0,0,0,41.50606301147837
L007,L007-S03,Explain why this step works,0,0,1,0,14.896952265969093
L007,L007-S03,Help me reflect on my reasoning,0,0,1,0,4.622090895714317
L007,L007-S03,Write a possible answer,0,1,1,0,36.6111135749022
L008,L008-S00,What source supports this?,1,1,0,0,25.219830888614233
L008,L008-S00,Give me an outline,1,1,0,1,20.365459267229763
L008,L008-S00,Help me reflect on my reasoning,1,1,0,0,18.3845115528486
L008,L008-S00,Check whether my answer is correct,1,1,0,1,13.069179335497171
L008,L008-S00,Give me an outline,0,1,0,1,3.6706875315865894
L008,L008-S01,Help me reflect on my reasoning,1,1,1,1,57.10394474336378
L008,L008-S01,Check whether my answer is correct,1,1,0,1,41.581841175913254
L008,L008-S01,Give me an outline,1,0,0,0,28.6399853298592
L008,L008-S01,What source supports this?,1,1,1,0,32.3951474256841
L008,L008-S02,Explain why this step works,1,1,0,1,35.07640162023284
L008,L008-S02,Explain why this step works,1,1,0,0,18.345977495324888
L008,L008-S02,Help me reflect on my reasoning,1,1,0,0,17.810137598474448
L008,L008-S02,Check whether my answer is correct,1,0,0,1,10.272227012058906
L008,L008-S02,Check whether my answer is correct,0,1,1,0,66.8377234665229
L008,L008-S02,Explain why this step works,1,1,0,1,13.709517727127473
L008,L008-S02,Help me reflect on my reasoning,1,1,0,1,16.715340617202145
L008,L008-S03,Help me reflect on my reasoning,0,0,1,1,48.594456679188724
L008,L008-S03,Check whether my answer is correct,1,1,0,1,27.809664125948142
L008,L008-S03,What source supports this?,1,1,0,1,39.28409858930116
L009,L009-S00,What source supports this?,0,1,0,0,51.94878892116433
L009,L009-S00,Help me reflect on my reasoning,0,1,1,0,30.143108156215554
L009,L009-S00,What source supports this?,0,0,1,0,25.322046139874253
L009,L009-S00,Write a possible answer,1,1,1,0,64.30182039298964
L009,L009-S00,What source supports this?,0,0,0,0,26.154693008617993
L009,L009-S00,Help me reflect on my reasoning,1,0,0,0,8.984614077694557
L009,L009-S00,Check whether my answer is correct,1,0,1,0,75.10422222638002
L009,L009-S01,Give me an outline,1,0,0,0,73.10846664074737
L009,L009-S01,What source supports this?,0,0,1,0,25.031170994675918
L009,L009-S01,Explain why this step works,0,0,0,0,39.28561488946763
L009,L009-S01,Check whether my answer is correct,1,1,1,1,14.742582948265197
L009,L009-S01,Check whether my answer is correct,1,1,0,0,23.675822097590913
L009,L009-S01,Give me an outline,1,0,1,0,15.629563368682636
L009,L009-S02,Explain why this step works,0,0,0,0,19.013376138091306
L009,L009-S02,What source supports this?,1,0,0,1,75.38376325048333
L009,L009-S02,Explain why this step works,0,1,0,1,44.97657879993827
L009,L009-S02,Write a possible answer,0,0,1,0,9.193882131523607
L009,L009-S02,Check whether my answer is correct,1,0,0,0,31.144795282543434
L009,L009-S02,Check whether my answer is correct,0,1,0,0,90.75073635027638
